DESIGN NUMBER,Colour Code,Coverage 01,Coverage 02,Coverage 03,Coverage 04,Coverage 05,Coverage 06,Coverage 07,Coverage 08,Coverage 09,Coverage 10,Coverage 11,Coverage 12,Coverage 13,Coverage 14,Total coverage
DX01008S01,P700000002,17.32,0,0,0,0,0,0,0,0,0,0,0,0,0,17.32
DX01008S01,P8A0000001,17.32,0,0,0,0,0,0,0,0,0,0,0,0,0,17.32
DX01008S01,P8A0000002,17.32,0,0,0,0,0,0,0,0,0,0,0,0,0,17.32
DX01008S01,P400000001,17.32,0,0,0,0,0,0,0,0,0,0,0,0,0,17.32
DX01008S01,P400000001,17.32,0,0,0,0,0,0,0,0,0,0,0,0,0,17.32
DX01016G01,P300000001,21.36,0,0,0,0,0,0,0,0,0,0,0,0,0,21.36
DX01016G01,P300000001,21.36,0,0,0,0,0,0,0,0,0,0,0,0,0,21.36
DX01016G01,P900000002,21.36,0,0,0,0,0,0,0,0,0,0,0,0,0,21.36
DX01016G01,P900000002,21.36,0,0,0,0,0,0,0,0,0,0,0,0,0,21.36
DX01084W01,P600000001,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65
DX01085S01,P600000001,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82
DX01086W02,P8A0000001,1.93,38.11,0,0,0,0,0,0,0,0,0,0,0,0,40.04
DX01087G01,DW0000001,23.04,0,0,0,0,0,0,0,0,0,0,0,0,0,23.04
DX01088S01,D700000001,26.72,0,0,0,0,0,0,0,0,0,0,0,0,0,26.72
DX01125F07,R600000001,40.41,21.7,3.59,0.55,16.26,2.55,21.47,0,0,0,0,0,0,0,106.53
DX01126F08,P600000001,4.06,3.55,4.96,1.72,1.61,6.89,10.16,2.27,0,0,0,0,0,0,35.22
DX01127F02,P8A0000001,14.98,22.92,0,0,0,0,0,0,0,0,0,0,0,0,37.9
DX01128S02,P8A0000001,4.33,34.43,0,0,0,0,0,0,0,0,0,0,0,0,38.76
DX01129F04,P8A0000001,5.53,71.72,0.47,11,0,0,0,0,0,0,0,0,0,0,88.72
DX01129F04,P8A0000001,5.53,71.72,0.47,11,0,0,0,0,0,0,0,0,0,0,88.72
DX01129F04,P5B0000002,5.53,71.72,0.47,11,0,0,0,0,0,0,0,0,0,0,88.72
DX01136G01,P8A0000002,30.32,0,0,0,0,0,0,0,0,0,0,0,0,0,30.32
DX01136G01,P8A0000002,30.32,0,0,0,0,0,0,0,0,0,0,0,0,0,30.32
DX01136G01,D400000001,30.32,0,0,0,0,0,0,0,0,0,0,0,0,0,30.32
DX01136G01,D400000001,30.32,0,0,0,0,0,0,0,0,0,0,0,0,0,30.32
DX01144G01,P4FJ000121,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6
DX01144G01,P6FJ000120,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6
DX01144G01,P6FJ000118,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6
DX01144G01,P700000002,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6
DX01144G01,P300000001,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6
DX01144G01,P8A0000001,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6
DX01144G01,P8A0000001,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6
DX01149G02,P400000001,3.5,1.66,0,0,0,0,0,0,0,0,0,0,0,0,5.16
DX01149G02,P400000002,3.5,1.66,0,0,0,0,0,0,0,0,0,0,0,0,5.16
DX01149G02,D400000001,3.5,1.66,0,0,0,0,0,0,0,0,0,0,0,0,5.16
DX01149G02,P9000000002,3.5,1.66,0,0,0,0,0,0,0,0,0,0,0,0,5.16
DX01149G02,P4000000001,3.5,1.66,0,0,0,0,0,0,0,0,0,0,0,0,5.16
DX01151H02,p400000002,54.18,33.51,0,0,0,0,0,0,0,0,0,0,0,0,87.69
DX01151H02,P8A0000001,54.18,33.51,0,0,0,0,0,0,0,0,0,0,0,0,87.69
DX01155H01,P900000002,47.43,0,0,0,0,0,0,0,0,0,0,0,0,0,47.43
DX01155H01,P400000001,47.43,0,0,0,0,0,0,0,0,0,0,0,0,0,47.43
DX01175F01,P8A00000001,17.31,0,0,0,0,0,0,0,0,0,0,0,0,0,17.31
DX01177G01,P6000000001,29.34,0,0,0,0,0,0,0,0,0,0,0,0,0,29.34
DX01228S01,D700000001,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29
DX01237G01,P4FJ000107,21.67,0,0,0,0,0,0,0,0,0,0,0,0,0,21.67
DX01237G01,P6FJ000106,21.67,0,0,0,0,0,0,0,0,0,0,0,0,0,21.67
DX01237G01,P8FJ000105,21.67,0,0,0,0,0,0,0,0,0,0,0,0,0,21.67
DX01237G01,P6FJ000104,21.67,0,0,0,0,0,0,0,0,0,0,0,0,0,21.67
DX01237G01,P3FJ000103,21.67,0,0,0,0,0,0,0,0,0,0,0,0,0,21.67
DX01237G01,P3FM000445,21.67,0,0,0,0,0,0,0,0,0,0,0,0,0,21.67
DX01237G01,P3FM000445,21.67,0,0,0,0,0,0,0,0,0,0,0,0,0,21.67
DX01237G01,P8FM000444,21.67,0,0,0,0,0,0,0,0,0,0,0,0,0,21.67
DX01237G01,P8FM000444,21.67,0,0,0,0,0,0,0,0,0,0,0,0,0,21.67
DX01237G01,P400000002,21.67,0,0,0,0,0,0,0,0,0,0,0,0,0,21.67
DX01237G01,P8FC000564,21.67,0,0,0,0,0,0,0,0,0,0,0,0,0,21.67
DX01237G01,P8A0000004,21.67,0,0,0,0,0,0,0,0,0,0,0,0,0,21.67
DX01237G01,P400000003,21.67,0,0,0,0,0,0,0,0,0,0,0,0,0,21.67
DX01237G01,P400000002,21.67,0,0,0,0,0,0,0,0,0,0,0,0,0,21.67
DX01237G01,P6000000001,21.67,0,0,0,0,0,0,0,0,0,0,0,0,0,21.67
DX01239G01,P600000001,29.86,0,0,0,0,0,0,0,0,0,0,0,0,0,29.86
DX01240D01,P600000001,33.59,0,0,0,0,0,0,0,0,0,0,0,0,0,33.59
DX01245S01,P9000000001,20.66,0,0,0,0,0,0,0,0,0,0,0,0,0,20.66
DX01246F01,P900000001,16.77,0,0,0,0,0,0,0,0,0,0,0,0,0,16.77
DX01247H01,P8A0000001,33.72,0,0,0,0,0,0,0,0,0,0,0,0,0,33.72
DX01247H01,P900000001,33.72,0,0,0,0,0,0,0,0,0,0,0,0,0,33.72
DX01248G01,P900000001,7.61,0,0,0,0,0,0,0,0,0,0,0,0,0,7.61
DX01249G01,P9000000001,19.71,0,0,0,0,0,0,0,0,0,0,0,0,0,19.71
DX01250G01,P600000001,27.34,0,0,0,0,0,0,0,0,0,0,0,0,0,27.34
DX01263D01,P900000002,33.59,0,0,0,0,0,0,0,0,0,0,0,0,0,33.59
DX01286G01,P900000002,39.75,0,0,0,0,0,0,0,0,0,0,0,0,0,39.75
DX01297F02,R8A0000001,10.98,57.01,0,0,0,0,0,0,0,0,0,0,0,0,67.99
DX01298G02,DW0000001,1.62,0.95,0,0,0,0,0,0,0,0,0,0,0,0,2.57
DX01298G02,P400000001,1.62,0.95,0,0,0,0,0,0,0,0,0,0,0,0,2.57
DX01298G02,D5A00000001,1.62,0.95,0,0,0,0,0,0,0,0,0,0,0,0,2.57
DX01299K01,P400000001,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52
DX01299K01,P400000001,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52
DX01299K01,D8A0000001,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52
DX01300K05,DW0000001,0.83,0.09,0.07,0.18,0.27,0,0,0,0,0,0,0,0,0,1.44
DX01301K04,DW0000001,1.74,1.11,1.19,2,0,0,0,0,0,0,0,0,0,0,6.04
DX01302G01,P900000001,41.42,0,0,0,0,0,0,0,0,0,0,0,0,0,41.42
DX01302G01,P900000001,41.42,0,0,0,0,0,0,0,0,0,0,0,0,0,41.42
DX01303T03,D5B0000001,1.79,2.31,1.47,0,0,0,0,0,0,0,0,0,0,0,5.57
DX01304H05,P7000000001,1.27,0.33,0.35,0.58,6.36,0,0,0,0,0,0,0,0,0,8.89
DX01305S02,P8A0000001,16.64,25.66,0,0,0,0,0,0,0,0,0,0,0,0,42.3
DX01323F01,P600000001,11.79,0,0,0,0,0,0,0,0,0,0,0,0,0,11.79
DX01324F03,R600000001,28.33,19.34,30.14,0,0,0,0,0,0,0,0,0,0,0,77.81
DX01325G02,R200000001,19.6,49.7,0,0,0,0,0,0,0,0,0,0,0,0,69.3
DX01326F02,P6000000001,10.99,0,0,0,0,0,0,0,0,0,0,0,0,0,10.99
DX01326F02,R5A0000001,10.99,89.01,0,0,0,0,0,0,0,0,0,0,0,0,100
DX01326F02,P900000002,10.99,0,0,0,0,0,0,0,0,0,0,0,0,0,10.99
DX01326F02,P900000001,10.99,0,0,0,0,0,0,0,0,0,0,0,0,0,10.99
DX01328S01,PW00000001,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32
