K1,Construction,Warp,Weft,EPI-PPI
11260,12OE*16OE+16SPX-70*60-155.7-2/2 TWILL,12OE,16OE+16SPX-70*60-155.7-2/2 TWILL,70*60
11260,12OE*16OE+16LYC-70*60-155.7-2/2 TWILL,12OE,16OE+16LYC-70*60-155.7-2/2 TWILL,70*60
11267,"12OE*8OE-76*52-160-2/2,S TWILL",12OE,"8OE-76*52-160-2/2,S TWILL",76*52
11270,"12CVC*8CVC-71*45-165.1-2/1,S TWILL",12CVC,"8CVC-71*45-165.1-2/1,S TWILL",71*45
11273,12OE*20SPX-76*74-161-DOBBY TOP BEAM,12OE,20SPX-76*74-161-DOBBY TOP BEAM,76*74
11283,12OE*10OE-72*44-160.8-3/1 TWILL,12OE,10OE-72*44-160.8-3/1 TWILL,72*44
11291,12K*12OE-76*68-161.3-2/2 HBT TOP BEAM,12K,12OE-76*68-161.3-2/2 HBT TOP BEAM,76*68
11297,12OE*12OE-88*60-157.5-3/1 TWILL,12OE,12OE-88*60-157.5-3/1 TWILL,88*60
11299,"12OE*10OE-87*52-162.5-3/1,S TWILL",12OE,"10OE-87*52-162.5-3/1,S TWILL",87*52
11299,"12K*10K-87*52-162.6-3/1,S TWILL",12K,"10K-87*52-162.6-3/1,S TWILL",87*52
11403,14VORTEX.PC*14VORTEX.PC-81*50-161.9-2/1 S TWILL,14VORTEX.PC,14VORTEX.PC-81*50-161.9-2/1 S TWILL,81*50
11403,14PC.RECY*14PC.RECY-81*50-161-2/1 S TWILL,14PC.RECY,14PC.RECY-81*50-161-2/1 S TWILL,81*50
11403,14C.PC.RECY.OG.COT*14C.PC.RECY.OG.COT-81*50-161-2/1 S TWILL,14C.PC.RECY.OG.COT,14C.PC.RECY.OG.COT-81*50-161-2/1 S TWILL,81*50
11403,14C.PC.RECY*14C.PC.RECY-81*50-161-2/1 S TWILL,14C.PC.RECY,14C.PC.RECY-81*50-161-2/1 S TWILL,81*50
11403,14PC*14PC-81*52-162.6-2/1 TWILL,14PC,14PC-81*52-162.6-2/1 TWILL,81*52
11403,14PC*14PC-81*50-162.6-2/1 TWILL,14PC,14PC-81*50-162.6-2/1 TWILL,81*50
11403,14PC*14PC-81*50-162.6-2/1 TWILL,14PC,14PC-81*50-162.6-2/1 TWILL,81*50
11403,"14OE.PC*14OE.PC-81*50-162.6-2/1,S TWILL",14OE.PC,"14OE.PC-81*50-162.6-2/1,S TWILL",81*50
11403,"14OE.PC*14OE.PC-81*50-161.1-2/1,S TWILL",14OE.PC,"14OE.PC-81*50-161.1-2/1,S TWILL",81*50
11403,"14K.PC*14OE.PC-81*50-162.6-2/1,S TWILL",14K.PC,"14OE.PC-81*50-162.6-2/1,S TWILL",81*50
11403,"14K.PC*14OE.PC-81*50-162.6-2/1,S TWILL",14K.PC,"14OE.PC-81*50-162.6-2/1,S TWILL",81*50
11403,"14K.PC*14OE.PC-81*50-161.1-2/1,S TWILL",14K.PC,"14OE.PC-81*50-161.1-2/1,S TWILL",81*50
11403,"14K.PC*14K.PC-81*50-161.1-2/1,S TWILL",14K.PC,"14K.PC-81*50-161.1-2/1,S TWILL",81*50
11403,"14K.PC*14K.PC-81*50-161.1-2/1,S TWILL",14K.PC,"14K.PC-81*50-161.1-2/1,S TWILL",81*50
11403,"14C.VORTEX.PC*14C.VORTEX.PC-81*50-161.1-2/1,S TWILL",14C.VORTEX.PC,"14C.VORTEX.PC-81*50-161.1-2/1,S TWILL",81*50
11403,"14C.PC*14K.PC-81*50-161.1-2/1,S TWILL",14C.PC,"14K.PC-81*50-161.1-2/1,S TWILL",81*50
11403,"14C.PC*14C.PC-81*50-161.1-2/1,S TWILL",14C.PC,"14C.PC-81*50-161.1-2/1,S TWILL",81*50
11403,14PC*14PC-81*50-162.6-,14PC,14PC-81*50-162.6-,81*50
11412,14PC*14PC-98*56-160.8-3/1 TWILL,14PC,14PC-98*56-160.8-3/1 TWILL,98*56
11413,14C.PC*10K.PC-99*50-161.70-3/1 S TWILL,14C.PC,10K.PC-99*50-161.70-3/1 S TWILL,99*50
