K1,Construction,Warp,Weft,EPI-PPI
2Y120017,20O.E*14SPX/114*60 175.5 3/1(S,20O.E,14SPX/114*60 175.5 3/1(S,114*60
2Y120018,20O.E*300MD.POLY/116*48 162 2/,20O.E,300MD.POLY/116*48 162 2/,116*48
2Y120019,20K.CVC*16K.CVC/112*60 164 3/1,20K.CVC,16K.CVC/112*60 164 3/1,112*60
2Y120020,20O.E.PC*20SPX/106*60 175 2/2H,20O.E.PC,20SPX/106*60 175 2/2H,106*60
2Y120021,20O.E*20SPX/114*64 155 DOBBY,20O.E,20SPX/114*64 155 DOBBY,114*64
2Y120022,20O.E*20O.EPC/108*72 181.6 2/1,20O.E,20O.EPC/108*72 181.6 2/1,108*72
2Y120023,20K*16O.E/106*60 165 RIBSTOP,20K,16O.E/106*60 165 RIBSTOP,106*60
2Y120024,20K*20K-97*68-170.7-2/1 TWILL,20K,20K-97*68-170.7-2/1 TWILL,97*68
2Y120024,20K*20K/97*68 170.7 2/1(S),20K,20K/97*68 170.7 2/1(S),97*68
2Y120025,20O.E*16SPX/108*50 176 3/1(S)T,20O.E,16SPX/108*50 176 3/1(S)T,108*50
2Y120026,20O.E*16SPX/100*54 167.6 3/1(S,20O.E,16SPX/100*54 167.6 3/1(S,100*54
2Y120027,20K*30SPX/102*80 155 3/1(S)TWI,20K,30SPX/102*80 155 3/1(S)TWI,102*80
2Y120028,20K*20SPX/120*92 179 4/1(S)SAT,20K,20SPX/120*92 179 4/1(S)SAT,120*92
2Y120029,20K*20SPX/110*72 202 3/1(S),20K,20SPX/110*72 202 3/1(S),110*72
2Y120030,20K*16SPX/116*82 179 4/2(S)TWI,20K,16SPX/116*82 179 4/2(S)TWI,116*82
2Y120031,20C*16SPX/122*72 176.5 DOBBY,20C,16SPX/122*72 176.5 DOBBY,122*72
2Y120032,20C*20K/124*84 162 DOBBY,20C,20K/124*84 162 DOBBY,124*84
2Y120033,20OE*20SPX-103*74-177.8-3/1 TWILL,20OE,20SPX-103*74-177.8-3/1 TWILL,103*74
2Y120033,"20OE*20SPX-103*74-170.2-3/1,S TWILL",20OE,"20SPX-103*74-170.2-3/1,S TWILL",103*74
2Y120034,20O.E*24K/132*84 160 3/1(S)TWI,20O.E,24K/132*84 160 3/1(S)TWI,132*84
2Y120035,20OE*14SPX-122*68-176-DOBBY,20OE,14SPX-122*68-176-DOBBY,122*68
2Y120035,20O.E*14SPX/122*68 176 DOBBY,20O.E,14SPX/122*68 176 DOBBY,122*68
2Y120036,20C*12O.E/112*72 161.5 4/2(S)T,20C,12O.E/112*72 161.5 4/2(S)T,112*72
2Y120037,20K.PC*16O.EPC/128*60 160 3/1S,20K.PC,16O.EPC/128*60 160 3/1S,128*60
2Y120038,20K*16O.E/128*60 160 OXFORD,20K,16O.E/128*60 160 OXFORD,128*60
2Y120040,20K+20MC*16SPX/90*68 173 3/1(Z,20K+20MC,16SPX/90*68 173 3/1(Z,90*68
2Y120041,20C*16SPX/110*66 175.3 DOBBY,20C,16SPX/110*66 175.3 DOBBY,110*66
2Y120042,20O.E*16O.E+16SPX/116*56 164.3,20O.E,16O.E+16SPX/116*56 164.3,116*56
2Y120043,20O.E*20O.E/102*50 164.1 1/1,20O.E,20O.E/102*50 164.1 1/1,102*50
2Y120044,20O.E*16O.E+16SPX/108*56 176.2,20O.E,16O.E+16SPX/108*56 176.2,108*56
2Y120045,20K*20SPX/94*72 155.6 RIBSTOP,20K,20SPX/94*72 155.6 RIBSTOP,94*72
2Y120046,20K.PC*16K.PC/120*60 160 3/1S,20K.PC,16K.PC/120*60 160 3/1S,120*60
2Y120047,20O.E*20O.E/124*72 162.2 3/1H,20O.E,20O.E/124*72 162.2 3/1H,124*72
2Y120048,20CVC*16CVC/120*62 163 3/1 S,20CVC,16CVC/120*62 163 3/1 S,120*62
2Y120049,20K*16SPX/124*84 157.2 4/2(S)T,20K,16SPX/124*84 157.2 4/2(S)T,124*84
2Y120050,20C*10O.E/116*58 155 2/1(S),20C,10O.E/116*58 155 2/1(S),116*58
2Y120051,20C*20C/74*80 175.4 2/2(S)TWIL,20C,20C/74*80 175.4 2/2(S)TWIL,74*80
2Y120052,20O.E*12O.E/120*60 165.1 2/2(S,20O.E,12O.E/120*60 165.1 2/2(S,120*60
2Y120053,20CVC*20CVC/66*54 160 1/1,20CVC,20CVC/66*54 160 1/1,66*54
2Y120054,"20OE*20OE+20SPX-120*50-174.75-3/1,S TWILL",20OE,"20OE+20SPX-120*50-174.75-3/1,S TWILL",120*50
2Y120055,20O.E*10O.E/112*60 157 3/1(S)T,20O.E,10O.E/112*60 157 3/1(S)T,112*60
2Y120056,20O.E*20O.E/100*62 161 RIBSTOP,20O.E,20O.E/100*62 161 RIBSTOP,100*62
2Y120057,20K*20SPX/110*56 190.5 3/1(S)T,20K,20SPX/110*56 190.5 3/1(S)T,110*56
2Y120058,20K.PC*16O.E.PC/100*64 161.6,20K.PC,16O.E.PC/100*64 161.6,100*64
2Y120059,20K.PC*20K.PC/112*56 155.3 2/1,20K.PC,20K.PC/112*56 155.3 2/1,112*56
2Y120060,20K.PC*20K.PC/100*64 161.6 3/1,20K.PC,20K.PC/100*64 161.6 3/1,100*64
2Y120061,20O.E*16O.E/128*74 157.5 3/1(S,20O.E,16O.E/128*74 157.5 3/1(S,128*74
2Y120062,20K*20K-79*68-160-PLAIN,20K,20K-79*68-160-PLAIN,79*68
2Y120062,20K*20K/79*68 160 1/1,20K,20K/79*68 160 1/1,79*68
2Y120063,20K*30K-97*80-160-PLAIN,20K,30K-97*80-160-PLAIN,97*80
2Y120063,20K*30K/97*80 160 1/1,20K,30K/97*80 160 1/1,97*80
2Y120064,20K*20K-76*66-160-PLAIN,20K,20K-76*66-160-PLAIN,76*66
2Y120064,20K*20K/76*66 160 1/1,20K,20K/76*66 160 1/1,76*66
2Y120065,20K*30K-91*78-160-PLAIN,20K,30K-91*78-160-PLAIN,91*78
2Y120065,20K*30K/91*78 160 1/1,20K,30K/91*78 160 1/1,91*78
2Y120066,20OE*12OE-112*64-160.4-3/1BKT,20OE,12OE-112*64-160.4-3/1BKT,112*64
2Y120067,20K*16SPX/110*52 189.7 3/1(S)T,20K,16SPX/110*52 189.7 3/1(S)T,110*52
2Y120068,20K*20K-60*60-161.5-PLAIN,20K,20K-60*60-161.5-PLAIN,60*60
2Y120068,20K*20K/60*60 161.5 1/1,20K,20K/60*60 161.5 1/1,60*60
2Y120069,20C*20O.E/132*60 160 2/2(S)TWI,20C,20O.E/132*60 160 2/2(S)TWI,132*60
2Y120070,20O.E*20O.E/116*70 161.8 DOBBY,20O.E,20O.E/116*70 161.8 DOBBY,116*70
2Y120071,20O.E*20O.E/100*64 161 RIBSTOP,20O.E,20O.E/100*64 161 RIBSTOP,100*64
2Y120072,20OE*10OE-116*56-158.8-3/1 TWILL,20OE,10OE-116*56-158.8-3/1 TWILL,116*56
2Y120072,20O.E*10O.E/116*56 158.7 3/1(S,20O.E,10O.E/116*56 158.7 3/1(S,116*56
2Y120073,"20O.E*16SPX/126*52 176.5 3/1,S",20O.E,"16SPX/126*52 176.5 3/1,S",126*52
2Y120074,"20O.E*16O.E/124*64 159.7 2/1,S",20O.E,"16O.E/124*64 159.7 2/1,S",124*64
2Y120075,"20O.E*20O.E/124*70 159.8 3/1,S",20O.E,"20O.E/124*70 159.8 3/1,S",124*70
2Y120076,20O.E*20O.E/124*74 162.3 DOBBY,20O.E,20O.E/124*74 162.3 DOBBY,124*74
2Y120077,20O.E*8O.E/124*52 153.7 3/1BKT,20O.E,8O.E/124*52 153.7 3/1BKT,124*52
2Y120078,"20O.E*16SPX/124*52 179.3 3/1,S",20O.E,"16SPX/124*52 179.3 3/1,S",124*52
2Y120079,"20O.E*8O.E/116*48 159.5 3/1,S",20O.E,"8O.E/116*48 159.5 3/1,S",116*48
2Y120080,20O.E*16O.E/112*60 160.5 OXF.,20O.E,16O.E/112*60 160.5 OXF.,112*60
2Y120081,20O.E*20O.E/76*60 158.7 DOBBY,20O.E,20O.E/76*60 158.7 DOBBY,76*60
2Y120082,20OE*20SPX-126*66-174.2-3/1 TWILL,20OE,20SPX-126*66-174.2-3/1 TWILL,126*66
2Y120082,20O.E*20SPX/126*66 174.2 3/1(S,20O.E,20SPX/126*66 174.2 3/1(S,126*66
2Y120083,20O.E*14SPX/116*66 179 4/2(S)T,20O.E,14SPX/116*66 179 4/2(S)T,116*66
2Y120084,20O.E*16O.E/120*60 159 OXFORD,20O.E,16O.E/120*60 159 OXFORD,120*60
2Y120085,20OE*10OE-104*50-154.9-3/1 TWILL,20OE,10OE-104*50-154.9-3/1 TWILL,104*50
2Y120085,20O.E*10O.E/104*50 155 3/1(S),20O.E,10O.E/104*50 155 3/1(S),104*50
2Y120086,20PC*150D.PET/100*76 163.3 2/1,20PC,150D.PET/100*76 163.3 2/1,100*76
2Y120087,20OE*20K.SPX-110*56-190.5-3/1 TWILL,20OE,20K.SPX-110*56-190.5-3/1 TWILL,110*56
2Y120087,20O.E*20K.SPX/110*56 190.5 3/1,20O.E,20K.SPX/110*56 190.5 3/1,110*56
2Y120088,20OE*16SPX-108*50-178.6-2/1 TWILL,20OE,16SPX-108*50-178.6-2/1 TWILL,108*50
2Y120088,"20O.E*16SPX/108*50 178.6 2/1,Z",20O.E,"16SPX/108*50 178.6 2/1,Z",108*50
2Y120089,20O.E*16SPX/120*56 179.3 CVT,20O.E,16SPX/120*56 179.3 CVT,120*56
2Y120090,20O.E*14SPX/108*56 176.2 3/1(S,20O.E,14SPX/108*56 176.2 3/1(S,108*56
2Y120091,"20O.E*30K/108*80 166.4 2/1,S",20O.E,"30K/108*80 166.4 2/1,S",108*80
2Y120092,20OE*20SPX-104*52-178.3-PLAIN,20OE,20SPX-104*52-178.3-PLAIN,104*52
2Y120092,20O.E*20SPX/104*52 178.3 1/1,20O.E,20SPX/104*52 178.3 1/1,104*52
2Y120093,20COM*8O.E/114*50 164.6 OTTOMA,20COM,8O.E/114*50 164.6 OTTOMA,114*50
2Y120094,20OE*30SPX-116*86-179.1-2/1 TWILL,20OE,30SPX-116*86-179.1-2/1 TWILL,116*86
2Y120094,20O.E*30SPX/116*86 179 2/1(S)T,20O.E,30SPX/116*86 179 2/1(S)T,116*86
2Y120095,20O.E*16O.E/128*60 155 2/2(S)T,20O.E,16O.E/128*60 155 2/2(S)T,128*60
2Y120096,20CVC*8OE-108*50-164.1-3/1 TWILL,20CVC,8OE-108*50-164.1-3/1 TWILL,108*50
2Y120096,20CVC*8O.E/108*50 164 3/1(S)TW,20CVC,8O.E/108*50 164 3/1(S)TW,108*50
2Y120097,20O.E*30C/120*78 157 2/1(S)TWI,20O.E,30C/120*78 157 2/1(S)TWI,120*78
2Y120098,"20O.E*14SPX/108*60 190.7 4/1,S",20O.E,"14SPX/108*60 190.7 4/1,S",108*60
2Y120099,20O.E*30K/120*78 157 2/1(S)TWI,20O.E,30K/120*78 157 2/1(S)TWI,120*78
2Y120100,"20CVC*12O.E/112*54 160.5 3/1,S",20CVC,"12O.E/112*54 160.5 3/1,S",112*54
2Y120101,"20O.E*10SPX/124*50 179.3 3/1,Z",20O.E,"10SPX/124*50 179.3 3/1,Z",124*50
2Y120102,20K*2/20K/112*40 161.5 OXF.,20K,2/20K/112*40 161.5 OXF.,112*40
2Y120103,20OE+20MC*20OE+20MC-60*54-151.6-PLAIN,20OE+20MC,20OE+20MC-60*54-151.6-PLAIN,60*54
2Y120105,20C*30C/104*80 161.3 DOBBY,20C,30C/104*80 161.3 DOBBY,104*80
2Y120106,20O.E*20O.E/88*72 174.5 3/1(Z),20O.E,20O.E/88*72 174.5 3/1(Z),88*72
2Y120107,"20O.E*14O.E/116*52-174-3/1,S",20O.E,"14O.E/116*52-174-3/1,S",116*52
2Y120108,"20O.E*12O.E/108*56 167.6 3/1,S",20O.E,"12O.E/108*56 167.6 3/1,S",108*56
2Y120110,20C*20SPX-120*68-189-3/1 TWILL,20C,20SPX-120*68-189-3/1 TWILL,120*68
2Y120110,"20C*20SPX/120*68 189 3/1,S TWI",20C,"20SPX/120*68 189 3/1,S TWI",120*68
2Y120115,20PC*20PC/103*54 158.7 1/1,20PC,20PC/103*54 158.7 1/1,103*54
2Y120116,20PC*20PC-103*46-161.1-PLAIN,20PC,20PC-103*46-161.1-PLAIN,103*46
2Y120119,"20O.E*10SPX/102*50 174.5 3/1,S",20O.E,"10SPX/102*50 174.5 3/1,S",102*50
2Y120123,20O.E*12O.E-112*64-161.5-3/1 HBT,20O.E,12O.E-112*64-161.5-3/1 HBT,112*64
2Y120125,20C*16OE+12OE-112*64-159-2/2 BKT,20C,16OE+12OE-112*64-159-2/2 BKT,112*64
2Y120126,20OE*14K.SPX-99*68-174.2-3/1 S TWILL,20OE,14K.SPX-99*68-174.2-3/1 S TWILL,99*68
2Y120127,20O.E*20O.E-112*60-159.3-2/2MATT,20O.E,20O.E-112*60-159.3-2/2MATT,112*60
2Y120128,20OE*20OE-92*64-158-1/1,20OE,20OE-92*64-158-1/1,92*64
2Y120129,20K*30SPX-108*76-173.7-2/1(S)TWILL,20K,30SPX-108*76-173.7-2/1(S)TWILL,108*76
2Y120456,20O.E*20O.E/106*64 158 3/1(S),20O.E,20O.E/106*64 158 3/1(S),106*64
2Y120723,20K*20K/128*80 153.6 2/2(Z)T,20K,20K/128*80 153.6 2/2(Z)T,128*80
2Y120D97,20K*20K/112*64 165 OXFORD,20K,20K/112*64 165 OXFORD,112*64
2Y120F80,20O.E*16O.E/120*72 164.3 DOBBY,20O.E,16O.E/120*72 164.3 DOBBY,120*72
2Y124001,24C*20SPX/92*80 175.3 4/1(Z),24C,20SPX/92*80 175.3 4/1(Z),92*80
2Y124002,24CVC*16O.E/136*80 160 4/1(S),24CVC,16O.E/136*80 160 4/1(S),136*80
2Y124003,24K*24K/108*80 162.5 2/2MATT,24K,24K/108*80 162.5 2/2MATT,108*80
2Y124004,24C.PC*24C.PC/94*52 165 1/1,24C.PC,24C.PC/94*52 165 1/1,94*52
2Y124005,24C*16SPX/118*50 149.8 3/1(S)T,24C,16SPX/118*50 149.8 3/1(S)T,118*50
2Y124006,24K*20LYC/124*76 150 4/1(Z)SAT,24K,20LYC/124*76 150 4/1(Z)SAT,124*76
2Y124007,24C*16O.E+16MC/132*66 162.5 OX,24C,16O.E+16MC/132*66 162.5 OX,132*66
2Y124008,24CVC*16O.E/116*60 162 DOBBY,24CVC,16O.E/116*60 162 DOBBY,116*60
2Y124009,24C.PC*14O.EPC/104*56 161.3 2/,24C.PC,14O.EPC/104*56 161.3 2/,104*56
2Y124010,24C*16SPX/110*60 175.3 2/2 MAT,24C,16SPX/110*60 175.3 2/2 MAT,110*60
2Y124011,24K*16SPX/104*70 178 DOBBY,24K,16SPX/104*70 178 DOBBY,104*70
2Y124012,24CVC*16SPX/102*52 174.5 2/1(S,24CVC,16SPX/102*52 174.5 2/1(S,102*52
2Y124013,24PC*24PC/80*48 162.6 1/1,24PC,24PC/80*48 162.6 1/1,80*48
2Y124014,24K*16SPX/124*72 179.3 3/1BKT,24K,16SPX/124*72 179.3 3/1BKT,124*72
2Y124016,24C*10O.E/124*60 162.3 3/1BKT,24C,10O.E/124*60 162.3 3/1BKT,124*60
2Y124018,24C*24C-132*62-162.6-DOBBY,24C,24C-132*62-162.6-DOBBY,132*62
2Y124018,24C*24C/132*62 162.6 DOBBY,24C,24C/132*62 162.6 DOBBY,132*62
2Y124019,24K+24SL*20SPX/112*84 178.8 DO,24K+24SL,20SPX/112*84 178.8 DO,112*84
2Y124020,24C+24MC*200D.PET+24MC/124*76,24C+24MC,200D.PET+24MC/124*76,124*76
2Y124022,1/24PC*1/24PC-91*52-159.31-DOBBY,1/24PC,1/24PC-91*52-159.31-DOBBY,91*52
2Y124023,24C*24C-132*60-144-OXFORD,24C,24C-132*60-144-OXFORD,132*60
2Y124125,24C*24C+24SPX/108*96 158 4/1(Z,24C,24C+24SPX/108*96 158 4/1(Z,108*96
2Y130001,30COM*40COM/132*104 160 2/1(Z),30COM,40COM/132*104 160 2/1(Z),132*104
2Y130002,30K*30SPX/132*68 155 2/1(S)TWI,30K,30SPX/132*68 155 2/1(S)TWI,132*68
2Y130003,30COM*16MC/144*76 163.5 2/2(S),30COM,16MC/144*76 163.5 2/2(S),144*76
2Y130004,30K*20MC/112*78 162.5 2/2HBT,30K,20MC/112*78 162.5 2/2HBT,112*78
2Y130005,30C*30C/144*74 162.5 DOBBY,30C,30C/144*74 162.5 DOBBY,144*74
2Y130006,30K*30K/132*84 159 2/1(S)TWILL,30K,30K/132*84 159 2/1(S)TWILL,132*84
2Y130007,30K*20K/144*80 158 2/1(S)TWILL,30K,20K/144*80 158 2/1(S)TWILL,144*80
2Y130008,30C.PC*20K.PC.SPX/78*60 171.5,30C.PC,20K.PC.SPX/78*60 171.5,78*60
2Y130009,30K*30K/132*92 162.5 DOBBY,30K,30K/132*92 162.5 DOBBY,132*92
2Y130010,30K*20O.E/132*76 162.5 DOBBY,30K,20O.E/132*76 162.5 DOBBY,132*76
2Y130011,30K*30LYC/136*70 180 2/1(S)TWI,30K,30LYC/136*70 180 2/1(S)TWI,136*70
2Y130012,30COM*30SPX/134*84 177 2/2BKT,30COM,30SPX/134*84 177 2/2BKT,134*84
2Y130013,30COM*16O.E/140*64 162.5 DOBBY,30COM,16O.E/140*64 162.5 DOBBY,140*64
2Y130014,30C.CVC*30C.CVC/120*72 157.5,30C.CVC,30C.CVC/120*72 157.5,120*72
2Y130015,30K*16O.E/132*78 159 2/1(S)TWI,30K,16O.E/132*78 159 2/1(S)TWI,132*78
2Y130016,30COM.OG*20OG.LY/150*80 149.8,30COM.OG,20OG.LY/150*80 149.8,150*80
2Y130017,30CVC*30CVC/85*64 167.7 1/1,30CVC,30CVC/85*64 167.7 1/1,85*64
2Y130018,30COM*30MC/132*72 162.5 1/1,30COM,30MC/132*72 162.5 1/1,132*72
2Y130019,30K*30K/156*84 162.5 2/2(S),30K,30K/156*84 162.5 2/2(S),156*84
2Y130020,30C*30SPX/122*80 153.7 2/2(S),30C,30SPX/122*80 153.7 2/2(S),122*80
2Y130021,30C*20SPX/144*72 180.1 3/1BKT,30C,20SPX/144*72 180.1 3/1BKT,144*72
2Y130022,30C*30C+20K/124*136 162.5 DOBB,30C,30C+20K/124*136 162.5 DOBB,124*136
2Y130023,30PC*20K+20SPX/130*76 177 DOBB,30PC,20K+20SPX/130*76 177 DOBB,130*76
2Y130024,30C*16SPX/106*70 199 2/1(S)TWI,30C,16SPX/106*70 199 2/1(S)TWI,106*70
2Y130025,30K*14SPX/128*64 177 2/1(S)TWI,30K,14SPX/128*64 177 2/1(S)TWI,128*64
2Y130026,30C*30C/148*94 163 DOBBY,30C,30C/148*94 163 DOBBY,148*94
2Y130027,30C*30C/148*94 163 DOBBY,30C,30C/148*94 163 DOBBY,148*94
2Y130028,30C*30C/148*94 163 DOBBY,30C,30C/148*94 163 DOBBY,148*94
2Y130029,30C*30C/148*94 163 DOBBY,30C,30C/148*94 163 DOBBY,148*94
2Y130030,30C*30C/148*94 163 DOBBY,30C,30C/148*94 163 DOBBY,148*94
2Y130031,30C*30C/148*94 163 DOBBY,30C,30C/148*94 163 DOBBY,148*94
2Y130032,30C*30C/148*94 163 DOBBY,30C,30C/148*94 163 DOBBY,148*94
2Y130033,30C*30C/148*94 163 DOBBY,30C,30C/148*94 163 DOBBY,148*94
2Y130034,30C*30C/148*94 163 DOBBY,30C,30C/148*94 163 DOBBY,148*94
2Y130035,30C*30C/148*94 163 DOBBY,30C,30C/148*94 163 DOBBY,148*94
2Y130036,30C*30C/148*94 163 DOBBY,30C,30C/148*94 163 DOBBY,148*94
2Y130037,30C*30SPX/128*88 162.5 DOBBY,30C,30SPX/128*88 162.5 DOBBY,128*88
2Y130038,30C*20O.E/148*82 161 2/2(S)TWI,30C,20O.E/148*82 161 2/2(S)TWI,148*82
2Y130039,30K*20SPX/144*62 200 3/1BKT,30K,20SPX/144*62 200 3/1BKT,144*62
2Y130040,30K*10O.E/148*68 163 DOBBY,30K,10O.E/148*68 163 DOBBY,148*68
2Y130041,30K*30K/140*94 160.5 2/1(S)TWI,30K,30K/140*94 160.5 2/1(S)TWI,140*94
2Y130042,30K.CVC*30K.CVC/120*60 160 1/1,30K.CVC,30K.CVC/120*60 160 1/1,120*60
2Y130043,30K*14SPX/120*62 179 2/1(S)TWI,30K,14SPX/120*62 179 2/1(S)TWI,120*62
2Y130044,30K*14SPX/120*58 179 2/1(S)TWI,30K,14SPX/120*58 179 2/1(S)TWI,120*58
2Y130045,30COM*20C/144*74 161.5 DOBBY,30COM,20C/144*74 161.5 DOBBY,144*74
2Y130046,30C*20MC/118*74 162 2/1 HBT,30C,20MC/118*74 162 2/1 HBT,118*74
2Y130047,30C.PC*20C.PC/128*84 165 4/1(S,30C.PC,20C.PC/128*84 165 4/1(S,128*84
2Y130048,30C*24C+16O.E/140*84 162.5 DOB,30C,24C+16O.E/140*84 162.5 DOB,140*84
2Y130049,30C.CVC*20C.CVC/128*84 165 4/1,30C.CVC,20C.CVC/128*84 165 4/1,128*84
2Y130050,30C*2/20K 142*68 160.3 3/1(S),30C,2/20K 142*68 160.3 3/1(S),142*68
2Y130051,30C*40SPX/118*80 176 2/1(S)TWI,30C,40SPX/118*80 176 2/1(S)TWI,118*80
2Y130052,30C*16SPX/122*52 156 2/1(S)T,30C,16SPX/122*52 156 2/1(S)T,122*52
2Y130053,30PC*16K.PC+30PC/140*84 162.8,30PC,16K.PC+30PC/140*84 162.8,140*84
2Y130054,30K*10SPX/120*64 179.2 3/1(S),30K,10SPX/120*64 179.2 3/1(S),120*64
2Y130055,30C.CVC*30SPX/160*84 179.6 4/1,30C.CVC,30SPX/160*84 179.6 4/1,160*84
2Y130056,30K*30MC/103*70 161.1 1/1,30K,30MC/103*70 161.1 1/1,103*70
2Y130057,30C*12O.E/124*72 159 2/2MATT,30C,12O.E/124*72 159 2/2MATT,124*72
2Y130058,30K*20K/132*80 162.5 2/2HBT,30K,20K/132*80 162.5 2/2HBT,132*80
2Y130059,30K*20K/132*80 165 2/2MATT,30K,20K/132*80 165 2/2MATT,132*80
2Y130060,"30K*20K-132*80-157.2-2/2,S TWILL",30K,"20K-132*80-157.2-2/2,S TWILL",132*80
2Y130061,30K*30K/132*68 165 3/1BKT,30K,30K/132*68 165 3/1BKT,132*68
2Y130062,30K*30K-132*68-165-2/2 HBT,30K,30K-132*68-165-2/2 HBT,132*68
2Y130063,30COM*30COM-156*84-161-3/1 TWILL,30COM,30COM-156*84-161-3/1 TWILL,156*84
2Y130063,30COM*30COM/156*84 161 3/1(S)T,30COM,30COM/156*84 161 3/1(S)T,156*84
2Y130064,30COM*30SPX/118*88 176 3/1(S)T,30COM,30SPX/118*88 176 3/1(S)T,118*88
2Y130065,30PC*20PC-148*70-163.1-DOBBY,30PC,20PC-148*70-163.1-DOBBY,148*70
2Y130065,30PC*20PC/148*70 163 DOBBY,30PC,20PC/148*70 163 DOBBY,148*70
2Y130066,30K*30K+12O.E/140*60 158.8 DOB,30K,30K+12O.E/140*60 158.8 DOB,140*60
2Y130067,30K*20SPX/114*80 175.6 2/2 MAT,30K,20SPX/114*80 175.6 2/2 MAT,114*80
2Y130068,30K*20SPX-110*80-187.2-3/1 TWILL,30K,20SPX-110*80-187.2-3/1 TWILL,110*80
2Y130068,30K*20SPX/110*80 187.3 3/1(S)T,30K,20SPX/110*80 187.3 3/1(S)T,110*80
2Y130069,30C*20C+10O.E/148*80 158 DOBBY,30C,20C+10O.E/148*80 158 DOBBY,148*80
2Y130070,30C*24C+16O.E/140*84 158 DOBBY,30C,24C+16O.E/140*84 158 DOBBY,140*84
2Y130071,30K.OG*16SPX-126*74-164.6-2/2 TWILL,30K.OG,16SPX-126*74-164.6-2/2 TWILL,126*74
2Y130071,30K.OG*16SPX/126*74 164.6 2/2S,30K.OG,16SPX/126*74 164.6 2/2S,126*74
2Y130072,30K*30K/134*80 165.1 4/1(S)SAT,30K,30K/134*80 165.1 4/1(S)SAT,134*80
2Y130073,30COM*30COM/164*82 162.3 2/2(Z,30COM,30COM/164*82 162.3 2/2(Z,164*82
2Y130074,30COM*20SPX+24C-144*90-163.1-3/1 BKT,30COM,20SPX+24C-144*90-163.1-3/1 BKT,144*90
2Y130074,30COM*20SPX+24C/144*90 163 3/1,30COM,20SPX+24C/144*90 163 3/1,144*90
2Y130075,30COM*20COM-154*80-158-DOBBY,30COM,20COM-154*80-158-DOBBY,154*80
2Y130075,30COM*20COM/154*80 158 DOBBY,30COM,20COM/154*80 158 DOBBY,154*80
2Y130076,30COM*30COM/132*90 157.5 DOBBY,30COM,30COM/132*90 157.5 DOBBY,132*90
2Y130077,30C*30C+24SL/132*70 162.6 2/1,30C,30C+24SL/132*70 162.6 2/1,132*70
2Y130078,30K*16K.SPX/114*64 175.7 3/1BK,30K,16K.SPX/114*64 175.7 3/1BK,114*64
2Y130079,30K*30K/100*56 162 1/1,30K,30K/100*56 162 1/1,100*56
2Y130080,30COM*30COM/144*82 163 DOBBY,30COM,30COM/144*82 163 DOBBY,144*82
2Y130081,30C*20K-136*72-162.6-DOBBY,30C,20K-136*72-162.6-DOBBY,136*72
2Y130081,30C*20K/136*72 162.7 DOBBY,30C,20K/136*72 162.7 DOBBY,136*72
2Y130082,30COM*30COM/140*90 162.8 DOBBY,30COM,30COM/140*90 162.8 DOBBY,140*90
2Y130084,30PC*20PC/136*80 162.6 DOBBY,30PC,20PC/136*80 162.6 DOBBY,136*80
2Y130085,30PC*20PC/136*76 162.6 DOBBY,30PC,20PC/136*76 162.6 DOBBY,136*76
2Y130086,30PC*20PC/136*80 162.6 DOBBY,30PC,20PC/136*80 162.6 DOBBY,136*80
2Y130087,30PC*30PC/175*96 162.8 DOBBY,30PC,30PC/175*96 162.8 DOBBY,175*96
2Y130088,30PC*20PC/136*74 162.6 DOBBY,30PC,20PC/136*74 162.6 DOBBY,136*74
2Y130089,30PC*30PC/175*96 162.8 DOBBY,30PC,30PC/175*96 162.8 DOBBY,175*96
2Y130090,"30COM*20K/144*84 158.5 2/1,S T",30COM,"20K/144*84 158.5 2/1,S T",144*84
2Y130091,30C*30C+30SPX/134*92 160 DOBBY,30C,30C+30SPX/134*92 160 DOBBY,134*92
2Y130093,30PC*30PC/156*86 163.3 DOBBY,30PC,30PC/156*86 163.3 DOBBY,156*86
2Y130094,30PC*30PC/144*82 165.3 BKT,30PC,30PC/144*82 165.3 BKT,144*82
2Y130095,30PC*30PC-132*68-162.6-DOBBY,30PC,30PC-132*68-162.6-DOBBY,132*68
2Y130095,30PC*30PC/132*68 162.6 DOBBY,30PC,30PC/132*68 162.6 DOBBY,132*68
2Y130096,30C+30MC*20C/132*88 160.8 3/1S,30C+30MC,20C/132*88 160.8 3/1S,132*88
2Y130097,30COM*30COM/156*84 161 2/2(S)T,30COM,30COM/156*84 161 2/2(S)T,156*84
2Y130098,30COM*30COM/112*86 156.7 DOBBY,30COM,30COM/112*86 156.7 DOBBY,112*86
2Y130099,"30K*20K.SPX/130*64 202.7 4/1,S",30K,"20K.SPX/130*64 202.7 4/1,S",130*64
2Y130100,"30C*20SPX/128*78 179.6 2/2,S",30C,"20SPX/128*78 179.6 2/2,S",128*78
2Y130101,30C*20O.E+20SPX/136*78 175 2/2,30C,20O.E+20SPX/136*78 175 2/2,136*78
2Y130102,30C*16O.E/148*80 159.5 2/2MATT,30C,16O.E/148*80 159.5 2/2MATT,148*80
2Y130103,30K*20SPX/118*78 176 DOBBY,30K,20SPX/118*78 176 DOBBY,118*78
2Y130104,30PC*30PC/132*76 165 2/1(S)TWI,30PC,30PC/132*76 165 2/1(S)TWI,132*76
