k1,k2,k3,k4,construction
11200010,BAOO,C55003,HH01,12OE*12OE-2/2 Z TWILL
11200010,BAOO,C55003,HH02,12OE*12OE-2/2 Z TWILL
11200012,BAOO,C44001,HH01,12OE*12OE-62*44-147-2/2 HBT 226
112105,BA,C55001,RR01,12OE*12OE-65*46-148-2/2 TWILL-219
112107,BA,F21001,TT01,12OE.PC+12MC*16SPX-*48--3/1 BKT-194
112108,BA,F21001,TT01,12OE.PC+12MC*16SPX-*48--2/2 TWILL-194
112113,BA,C22001,RR01,12OE*12OE-67*52-150-2/2 TWILL-232
11264,BA,C22001,RR02,12OE*12OE-68*64-148-2/2 MATT-262
11264,BA,C33001,RR02,12OE*12OE-68*64-148-2/2 MATT-262
11279,BA,S21M77,DR01,12OE+10CVC*12OE-*68--2/2 HBT-301
11290,BA,S21P42,DR01,12K+10CVC*16OE-100*72-154-DOBBY-303
11400008,BACC,C22001,DH01,14C.PC*14C.PC
11400019,BAOO,C22001,HH01,14OE*14OE-72*66-148-2/2 Z TWILL-255 $
11400019,BAOO,S21001,HH01,14OE*14OE-2/2 HBT
11400020,BAOO,S21001,HH01,14OE*14OE-72*66-150-2/2 HBT-255 $
11403,BA,W11001,DR01,14PC*14PC-88*50-149-2/1 TWILL-234
11403,BA,W11001,DR02,14PC*14PC-88*50-149-2/1 TWILL-234
11403,BA,W11001,DR03,14PC*14PC-88*50-149-2/1 TWILL-234
114137,BA,C22001,HH01,14OE*14OE-70*58-150-PLAIN-230 $
114137,BA,C22001,RR01,14OE*14OE-70*58-150-PLAIN-230 $
11600001,BAOOY,W11001,HH01,16OE*16OE
11600004,BAOC,C22001,HH01,16OE*16SPX
11600006,BAOC,C33001,HH01,16OE*20SPX-104*80-148-2/2 S TWILL-288 $
11600012,BAOO,F12001,HH01,16OE*16OE-68*56-152-PLAIN-201 $
11600012,BAOO,F12001,HH02,16OE*16OE-68*56-152-PLAIN-201 $
11600012,BAOO,F12001,HH03,16OE*16OE-68*56-152-PLAIN-201 $
11600013,BAOM,W12001,HH01,16OE*20COM+20MC-68*50-142-PLAIN-175 $
11600014,BAOC,C22001,RR01,16OE*20SPX-76*68-152-PLAIN-222 $
11600015,BAOC,C33001,RR01,"16OE*16SPX-102*72-148-2/2,S TWILL-295 $"
11600015,BAOC,C33001,RR02,11600051 BAOC C33001 RR01
11600017,BAOO,W11001,HH01,16OE*16OE-68*52-150-PLAIN-197 $
11600019,BAOO,F21001,HH01,16OE*16OE-64*52-145-PLAIN-192 $
11600019,BAOO,F21001,HH02,16OE*16OE-64*52-145-PLAIN-192 $
11600021,BAOC,W11001,HH01,16OE*20SPX-111*72-148-2/2 BKT-300 $
11600021,BAOC,W11001,HH02,16OE*20SPX-111*72-148-2/2 BKT-300 $
11600021,BAOC,W11001,HH03,16OE*20SPX-111*72-148-2/2 BKT-300 $
11600021,BAOC,W11001,HH06,16OE*20SPX(70D)- *72-2/2 BKT
11600029,BAOO,W22001,HH01,16OE+16MC*16OE+16MC-88*50-148-OXFORD-220 $
11600029,BAOO,W22001,HH02,16OE+16MC*16OE+16MC-88*50-148-OXFORD-220 $
11600029,BAOO,W22001,HH03,16OE+16MC*16OE+16MC-88*50-148-OXFORD-220 $
11600035,BAOC,S21001,HH01,16OE*16SPX-91*68-146-2/2 HBT-250 $
11600036,BAOO,F21001,HH01,16OE*16OE-76*70-148-2/2 S TWILL-247 $
11600036,BAOO,F21001,HH02,16OE*16OE-2/2 S TWILL
11600037,BAOO,F12001,HH01,16OE*16OE-84*72-148-2/2 MATT-258 $
11600038,BAOC,W11001,HH01,16OE*14SPX-88*54-158-PLAIN-260 $
11600038,BAOC,W11001,HH02,16OE*14SPX-88*54-158-PLAIN-260 $
11600038,BAOC,W11001,HH03,16OE*14SPX-88*54-158-PLAIN-260 $
11600039,BAOM,W11001,HH01,16OE*2/40MEL-90*80-148-2/2 HBT-249 $
11600039,BAOM,W11001,HH02,16OE*2/40MEL-90*80-148-2/2 HBT-249 $
11600041,BAOO,W11001,HH01,16OE*16OE-92*70-150-2/2 HBT-260 $
11600041,BAOO,W11001,HH02,16OE*16OE-92*70-150-2/2 HBT-260 $
11600042,BAKK,S21001,TT01,16K+15.5PC*20K.SPX-104*68-146-2/1 HBT 260 $
11600042,BAOK,S21001,TT01,16K+15.5PC*20K.SPX-104*68-146-2/1 HBT 260 $
11600043,BAOK,S21001,TT01,16OE+15.5PC*20K.SPX-108*68-145-2/1 HBT-270 $
11600051,BAOC,C33001,RR01,16OE*16SPX-102*72-148-2/2 Z TWILL-295 $
11600052,BAOOJ,S21001,HH01,16OE*16OE-98*48-152-PLAIN-232 $
11600053,BAOO,S21001,VV01,16OE*16OE-78*62-152-DOBBY (WEFT CORD)-215 $
11600054,BACCO,C22001,HH02,16MEL.OG+16K.OG*16MEL.OG+16K.OG-64*52-138-2/2 Z TWILL 190 $
11600054,BACCO,C22001,HH03,16MEL.OG+16K.OG*16MEL.OG+16K.OG-64*52-138-2/2 Z TWILL 190 $
11600054,BAKKO,C22001,HH01,16K.OG*16K.OG-64*52-138-2/2 Z TWILL 190 $
11600054,BAKKO,C22001,HH04,16K.OG+16MEL.OG*16K.OG+16MEL.OG-64*52-138-2/2 Z TWILL 190 $
11600054,BAOOO,C22001,HH01,16OE.OG*16OE.OG-64*52-138-2/2 Z TWILL 190 $
11600054,BAOOO,C22001,HH04,16OE.OG+16MEL.OG*16OE.OG+16MEL.OG-2/2 Z TWILL
11600055,BAOO,W11001,HH01,16OE*12OE-84*64-147-2/2 HBT 280 $
11600056,BAOO,W11001,HH01,16OE*16OE-82*76-148-2/2 MATT 250 $
11600056,BAOO,W11001,HH02,16OE*16OE-82*76-148-2/2 MATT 250 $
11600056,BAOO,W11001,HH03,16OE*16OE-82*76-148-2/2 MATT 250 $
11600056,BAOO,W11001,HH04,16OE*16OE-82*76-148-2/2 MATT 250 $
11600056,BAOO,W11001,HH05,16OE*16OE- *76-2/2 MATT
11600056,BAOO,W11001,HH06,16OE*16OE- *76-2/2 MATT
11600056,BAOO,W11001,HH07,16OE*16OE- *76-2/2 MATT
11600056,BAOO,W11001,HH08,16OE*16OE- *76-2/2 MATT
11600058,BAOC,W11001,HH01,16OE*10SPX-108*52-140-DOBBY 330 $
11600058,BAOC,W11001,HH02,16OE*10SPX-DOBBY
11600060,BAOO,C22001,HH01,16OE*16OE-72*54-146-2/2 S TWILL 205 $
11600060,BAOO,C22002,HH01,16OE*16OE-72*54-146-2/2 S TWILL 205 $
11600060,BAOO,C33001,HH01,16OE*16OE-2/2 S TWILL
11600060,BAOO,C44001,HH01,16OE*16OE-2/2 S TWILL
11600060,BAOO,C44002,HH01,16OE*16OE-72*54-146-2/2 S TWILL 205 $
11600060,LLOO,C22001,HH02,16OE*16OE- *54-2/2 S TWILL
11600062,BAOC,S12001,HH01,16OE*16SPX-96*62-142-DOBBY 270 $
11600063,BAOO,C45001,HH01,16OE*16OE-70*54-145-2/2 HBT 190 $
11600064,BAOC,C22001,HH01,16OE*16SPX -2/2 Z TWILL
11600064,BAOC,C22001,HH02,16OE*16SPX -2/2 Z TWILL
11600065,BAOC,W11001,HH01,16OE*14SPX-DOBBY
11600067,BAOO,F12001,HH01,16OE*10OE.MC-68*54-146-DOBBY 245 $
11600068,BAOO,C55001,HH01,16OE*12OE-106*56-152-2/2 Z TWILL EXTRA WIDTH 285 $
11600072,BLOO,C44001,HH01,16OE+20MEL*16OE+20MEL-60*52-148-PLAIN 172
11600073,BLOO,C22001,HH01,16OE+16MEL*16OE+16MEL-66*52-140-2/2 S TWILL 190 $
11600073,BLOO,C44001,HH01,16OE+16MEL*16OE+16MEL- 2/2 S TWILL
