k1,k2,k3,k4,construction
14000464,BAMM,W11001,RR02,40MEL*40MEL-118*80-149-2/2 HBT-127 $
14000464,BAMM,W11001,RR03,40MEL*40MEL-118*80-149-2/2 HBT-127 $
14000498,BLMMS,C35001,HH02,40COM*40COM-82*76-141-PLAIN-100 $
14000532,BLMMS,C55001,HH01,40COM+2/80SD*40MEL+2/80SD- -2/2 HBT
14000538,BAMMS,W11001,RR01,40MEL*40COM-132*84-151-2/2 HBT-139
14000545,BAMMJ,W11001,RR02,40MEL*40MEL- -2/2 HBT
14000547,BLMMS,S15001,HH01,40COM*40COM+40MEL- -2/2 Z TWILL
14000567,BAMM,W11001,RR01,40MEL*40MEL-118*80-150-2/2 Z TWILL-130 $
14000567,BAMM,W11001,RR02,40MEL*40MEL-118*80-150-2/2 Z TWILL-130 $
14000577,BAMM,W11001,RR01,40MEL*40MEL-118*80-150-OXFORD-130
14000577,BAMM,W11001,RR02,40MEL*40MEL-118*80-150-OXFORD-130
14000582,BLMMSJ,C55001,HH01,40COM*40COM- *72-PLAIN
14000605,BAMM,W11001,RR01,40MEL*40MEL-100*80-148-PLAIN-118 $
14000605,BAMM,W11001,RR02,40MEL*40MEL-100*80-148-PLAIN-118 $
14000605,BAMM,W11001,RR03,40MEL*40MEL-100*80-148-PLAIN-118 $
14000605,BAMM,W11001,RR05,40MEL*40MEL-100*80-148-PLAIN-118 $
14000605,BAMM,W11001,RR06,40MEL*40MEL-100*80-148-PLAIN-118 $
14000610,BAMM,W11001,RR01,40MEL*40MEL- *72-PLAIN
14000612,BAMMA,W11001,RR08,40MEL*40MEL-108*96-145-2/2 S TWILL 136 $
14000612,BAMMA,W11001,RR11,40MEL*40MEL- *96-2/2 S TWILL
14000618,BAMMSN,W11001,HH04,40COM*40COM-124*70*141-OXFORD 125
14000618,BAMMSN,W11001,HH08,40COM*40COM-124*70*141-OXFORD 125
14000620,BAMM,W11001,RR01,40MEL*40MEL-123*90-149-PLAIN-138
14000620,BAMM,W11001,RR02,40MEL*40MEL-123*90-149-PLAIN-138
14000661,BAMMS,W11001,HH01,40COM*40COM-132*76-152-2/1 Z TWILL-132 $
14000661,BLMMS,W11001,HH03,40COM*40COM-132*76-152-2/1 Z TWILL-132 $
14000661,LLMMS,W11001,HH02,40COM*40COM-132*76-152-2/1 Z TWILL-132 $
14000700,BLMMSA,W11001,RR04,40MEL*40COM- *88 2/2 HBT
14000700,LLMMSA,W11001,RR02,40MEL*40COM- *88 2/2 HBT
14000700,LLMMSA,W11001,RR03,40MEL*40COM- *88 2/2 HBT
14000708,BAMMSJ,C22001,HH02,40COM*40COM- -PLAIN
14000721,BAMMS,W11001,RR01,40MEL*40COM- *112-2/2 HBT
14000811,BAMMS,C22001,HH02,40COM*40COM- *102- -2/2 MATT
14000811,LLMMS,C22001,HH01,40COM*40COM- *102- -2/2 MATT
14000890,BAMC,C22001,HH02,40COM*40C Spx 40D- *72-PLAIN
14000890,BLMC,C22001,HH01,40COM*40C Spx 40D- *72-PLAIN
14000902,BLMMS,C33001,HH01,40COM*40COM- *80- -DOBBY-
140103,LLMMS,F21001,HH01,40COM*40COM-120*70-150-PLAIN-116 $
140103,LLMMS,F21001,HH02,40COM*40COM-120*70-150-PLAIN-116 $
140121,BAMM,W11001,RR25,40COM*40COM- *80-PLAIN
140121,BAMM,W11001,RR26,40MEL*40MEL- *80-PLAIN
140121,BAMM,W11001,RR27,40MEL*40MEL- *80-PLAIN
140121,BAMM,W11001,RR28,40MEL*40MEL-PLAIN
140121,BAMM,W11001,RR31,40MEL*40MEL-PLAIN
140121,BAMM,W11001,RR32,40MEL*40MEL-PLAIN
140121,BAMM,W11001,RR34,40MEL*40MEL- *80-PLAIN
140121,BAMM,W11001,RR35,40MEL*40MEL- *80-PLAIN
140121,BAMM,W11001,RR36,40MEL*40MEL- *80-PLAIN
140121,BAMM,W11001,RR38,40MEL*40MEL- *80-PLAIN
140121,BAMM,W11001,RR39,40MEL*40MEL- *80-PLAIN
140121,BAMM,W11001,RR40,40MEL*40MEL- *80-PLAIN
140121,BAMM,W11001,RR44,40MEL*40MEL- *80-PLAIN
140121,BAMMS,C33149,HH01,40COM*40COM- *80-PLAIN
140121,BAMMS,C33149,HH02,40COM*40COM- *80-PLAIN
140121,BAMMS,C44124,HH01,40COM*40COM- *80-PLAIN
140121,BAMMS,C44130,HH01,40COM*40COM- *80-PLAIN
140121,BAMMS,C44130,HH02,40COM*40COM- *80-PLAIN
140121,BAMMS,C44131,HH01,40COM*40COM- *80-PLAIN
140121,BAMMS,C44131,HH02,40COM*40COM- *80-PLAIN
140121,BAMMS,C44131,HH03,40COM*40COM- *80-PLAIN
140121,BAMMS,W11001,RR37,40MEL*40COM- *80-PLAIN
140121,BLMMS,W11001,HH38,40MEL*40COM- *80-PLAIN
140121,BLMMS,W11001,HH39,40MEL*40COM- *80-PLAIN
140226,BAMM,W11001,RR02,40COM*40COM-110*90-148-PLAIN-128
140313,BAMMS,W11001,HH65,40COM*40COM-158*62-150-OXFORD-135 $
140313,BAMMS,W11001,HH66,40COM*40COM-158*62-150-OXFORD-135 $
140313,BAMMS,W11001,HH67,40COM*40COM-158*62-150-OXFORD-135 $
140313,BAMMS,W11001,HH68,40COM*40COM-158*62-150-OXFORD-135 $
140389,BAMMSN,W11001,HH02,40MEL*40COM-133*80-149-PLAIN-135 $
140389,BAMMSN,W11001,HH03,40COM*40MEL-133*80-149-PLAIN-135 $
140389,BLMMAS,W11001,HH04,40MEL*40COM-133*80-149-PLAIN-135 $
140389,BLMMAS,W11001,HH05,40MEL*40COM-133*80-149-PLAIN-135 $
14095,BAMCS,S21001,HH01,40COM*2/30C-110*50-147-OXFORD 153 $
14095,BAMCS,S21001,HH02,40COM*2/30C-107*50-147-OXFORD 153 $
14095,BAMCS,W11001,HH39,40COM*2/30C- *50-OXFORD
14095,BLMCS,W11001,HH28,40COM*2/30C-107*50-147-OXFORD 153 $
14095,BLMCS,W11001,HH29,40COM*2/30C-107*50-147-OXFORD 153 $
14095,LLMCS,W11001,HH10,40COM*2/30C-107*50-147-OXFORD 153 $
14095,LLMCS,W11001,HH27,40COM*2/30C-107*50-147-OXFORD 153 $
140992,BAMM,W11001,RR04,40MEL*40MEL-121*90-149-PLAIN-134 $
140992,BAMM,W11001,RR06,40MEL*40MEL-121*90-149-PLAIN-134 $
140992,BAMM,W11001,RR07,40MEL*40MEL-121*90-149-PLAIN-134 $
140B75,BAMCS,W11001,HH45,40COM*2/30C-108*50-149-OXFORD-153 $
140B75,BAMMS,W11001,HH46,40COM*2/30COM-108*50-149-OXFORD-153 $
140B75,BAMMS,W11001,HH47,40COM*2/30COM-108*50-149-OXFORD-153 $
140U96,BAMM,W11001,HH26,DISCARD
140U96,BAMM,W11001,HH29,40COM*40COM-118*80-143-OXFORD-120 $
140U96,BAMM,W11001,HH30,40COM*40COM- *80-OXFORD
140U96,BAMMS,W11001,HH62,40COM*40COM-118*80-143-OXFORD-120 $
