k1,construction
11600021,16OE*20SPX(70D)- *72-2/2 BKT
11600029,16OE+16MC*16OE+16MC-88*50-148-OXFORD-220 $
11600029,16OE+16MC*16OE+16MC-88*50-148-OXFORD-220 $
11600029,16OE+16MC*16OE+16MC-88*50-148-OXFORD-220 $
11600035,16OE*16SPX-91*68-146-2/2 HBT-250 $
11600036,16OE*16OE-76*70-148-2/2 S TWILL-247 $
11600036,16OE*16OE-2/2 S TWILL
11600037,16OE*16OE-84*72-148-2/2 MATT-258 $
11600038,16OE*14SPX-88*54-158-PLAIN-260 $
11600038,16OE*14SPX-88*54-158-PLAIN-260 $
11600038,16OE*14SPX-88*54-158-PLAIN-260 $
11600039,16OE*2/40MEL-90*80-148-2/2 HBT-249 $
11600039,16OE*2/40MEL-90*80-148-2/2 HBT-249 $
11600041,16OE*16OE-92*70-150-2/2 HBT-260 $
11600041,16OE*16OE-92*70-150-2/2 HBT-260 $
11600042,16K+15.5PC*20K.SPX-104*68-146-2/1 HBT 260 $
11600042,16K+15.5PC*20K.SPX-104*68-146-2/1 HBT 260 $
11600043,16OE+15.5PC*20K.SPX-108*68-145-2/1 HBT-270 $
11600051,16OE*16SPX-102*72-148-2/2 Z TWILL-295 $
11600052,16OE*16OE-98*48-152-PLAIN-232 $
11600053,16OE*16OE-78*62-152-DOBBY (WEFT CORD)-215 $
11600054,16MEL.OG+16K.OG*16MEL.OG+16K.OG-64*52-138-2/2 Z TWILL 190 $
11600054,16MEL.OG+16K.OG*16MEL.OG+16K.OG-64*52-138-2/2 Z TWILL 190 $
11600054,16K.OG*16K.OG-64*52-138-2/2 Z TWILL 190 $
11600054,16K.OG+16MEL.OG*16K.OG+16MEL.OG-64*52-138-2/2 Z TWILL 190 $
11600054,16OE.OG*16OE.OG-64*52-138-2/2 Z TWILL 190 $
11600054,16OE.OG+16MEL.OG*16OE.OG+16MEL.OG-2/2 Z TWILL
11600055,16OE*12OE-84*64-147-2/2 HBT 280 $
11600056,16OE*16OE-82*76-148-2/2 MATT 250 $
11600056,16OE*16OE-82*76-148-2/2 MATT 250 $
11600056,16OE*16OE-82*76-148-2/2 MATT 250 $
11600056,16OE*16OE-82*76-148-2/2 MATT 250 $
11600056,16OE*16OE- *76-2/2 MATT
11600056,16OE*16OE- *76-2/2 MATT
11600056,16OE*16OE- *76-2/2 MATT
11600056,16OE*16OE- *76-2/2 MATT
11600058,16OE*10SPX-108*52-140-DOBBY 330 $
11600058,16OE*10SPX-DOBBY
11600060,16OE*16OE-72*54-146-2/2 S TWILL 205 $
11600060,16OE*16OE-72*54-146-2/2 S TWILL 205 $
11600060,16OE*16OE-2/2 S TWILL
11600060,16OE*16OE-2/2 S TWILL
11600060,16OE*16OE-72*54-146-2/2 S TWILL 205 $
11600060,16OE*16OE- *54-2/2 S TWILL
11600062,16OE*16SPX-96*62-142-DOBBY 270 $
11600063,16OE*16OE-70*54-145-2/2 HBT 190 $
11600064,16OE*16SPX -2/2 Z TWILL
11600064,16OE*16SPX -2/2 Z TWILL
11600065,16OE*14SPX-DOBBY
11600067,16OE*10OE.MC-68*54-146-DOBBY 245 $
11600068,16OE*12OE-106*56-152-2/2 Z TWILL EXTRA WIDTH 285 $
11600072,16OE+20MEL*16OE+20MEL-60*52-148-PLAIN 172
11600073,16OE+16MEL*16OE+16MEL-66*52-140-2/2 S TWILL 190 $
11600073,16OE+16MEL*16OE+16MEL- 2/2 S TWILL
11600073,16OE+16MEL*16OE+16MEL- 2/2 S TWILL
11600074,16OE*16OE-104*76-150-DOBBY 285
11600074,16OE*16OE- -DOBBY-08.08.028
11600075,16OE*12OE- *56-1/3 S TWILL
11600078,DISCARD
11600078,16OE+16MC*16OE+40LEA.LINEN-PLAIN
11600080,16OE*12OE-76*54*147-DOBBY-250 $
11600081,16OE+16OE.MC*16OE-3/1 Z TWILL
11600085,16OE*16OE- *60-2/1 S TWILL
11600085,16OE*16OE- *60-2/1 S TWILL
11600086,16OE*16OE+16LYC(70D)- *66-2/2 HBT
11600087,16OE*16SPX(70D)- -DOBBY-08.08.024
11600087,16OE*16SPX(70D)- -DOBBY-08.08.024
11600088,16OE*12SPX(70D)- -2/2 HBT-24.04.016
11600088,16OE*12SPX(70D)- *52-2/2 HBT
11600090,16OE+20C.PC*30K.COM+220D.PET.STR(70D)- *70-DOBBY TOP BEAM (4/1 S SATIN)
11600096,16K.PC+30/2R.CVC*12SPX(70D)-74*52*151-PLAIN 247
11600096,16K.PC+2/30C.CVC*12SPX(70D)- -PLAIN
11600096,16K.PC+30/2R.CVC*12SPX(70D)-74*52*151-PLAIN 247
11600097,16K.PC+16C.PC*12SPX(70D)- -PLAIN
11600097,16K.PC+16C.PC*12SPX(70D)- -PLAIN
11600099,15.5C.PC+16K.PC*12SPX(70D)- -PLAIN
11600100,16OE+2/30GRINDLE*2/30GRINDLE+16SPX(70D)-90*62*142-DOBBY 259
11600101,16K.PC+300D.PET*12SPX(70D)- -PLAIN
11600102,16OE*12SPX(70D)- -DOBBY-08.08.075
11600102,16OE*12SPX(70D)- -DOBBY-08.08.075
11600102,16OE*12SPX(70D)- -DOBBY-08.08.075
11600103,16K.PC*16K.PC-76*64*151-2/2 S TWILL-221
11600108,16MC*16MC- *60-DOBBY-22.04.007
11600111,16OE*16MC- -DOBBY(TOP BEAM)-04.04.019
11600111,16OE*16C MC-52*54-171.37-DOBBY-04.04.019
11600111,16OE*16MC- -DOBBY-04.04.019
11600111,16OE*16MC-59*52-151-DOBBY(TOP BEAM)-184
11600111,16OE*16MC- -DOBBY(TOP BEAM)-04.04.019
11600111,16OE*16MC- -DOBBY(TOP BEAM)-04.04.019
11600111,16OE*16MC- -DOBBY(TOP BEAM)-04.04.019
11600111,16OE*16MC- -DOBBY-04.04.019
11600111,16OE*16MC- -DOBBY-04.04.019
11600111,16OE*16MC- -DOBBY-04.04.019
11600111,16OE*16MC- -DOBBY(TOP BEAM)-04.04.019
11600111,16OE*16MC- -DOBBY(TOP BEAM)-04.04.019
11615,16K*12OE-113*56-149-3/1 TWILL-294
11615,16K*12OE-113*56-149-3/1 TWILL-294
116409,16OE+2/40SPUN*10OE-90*42-151-PLAIN-239
116494,16OE+2/80SPUN*16OE-111*60-149-2/2 HBT-258
116511,16MEL*14SPX-91*60-136-2/1 TWILL-227
116586,16OE*16OE-101*70-148-2/2 TWILL-258
116589,16MEL+2/30C*16SPX-85*56-132-2/2 TWILL-187
116594,16OE*16OE-69*50-150-PLAIN-177
116596,16OE*16OE-60*48-148-2/1 TWILL-155
116596,16OE*16OE-60*48-148-2/1 TWILL-155
116597,16OE*16OE-88*80-144-2/2 HBT-250
116600,16OE+2/30C*20COM-84*80-144-2/2 MATT-219
116603,16OE+16MC*16MC-80*68-149-2/1 TWILL-219
116603,16OE+16MC*16MC-80*68-149-2/1 TWILL-219
116603,"16OE+16MC*16MC-82*64-148-2/1,Z TWIL-230 $"
116603,"16OE+16MC*16MC-82*64-148-2/1,Z TWIL-230 $"
116603,"16OE+16MC*16MC-82*64-148-2/1,Z TWIL-230 $"
116603,"16OE+16MC*16MC-82*64-148-2/1,Z TWIL-230 $"
116603,"16OE+16MC*16MC-82*64-148-2/1,Z TWIL-230 $"
116613,16K+16PC*20SPX-99*72-149-2/1 HBT-244 $
12-13501,"16OE*16SPX-96*70-145-2/2,S TWILL-270 $"
12-13509,"2/40MEL*20SPX-112*66-137-3/1,Z TWILL 243 $"
12-13509,"2/40MEL*20SPX-112*66-137-3/1,Z TWILL 243 $"
12-13509,"2/40MEL*20SPX-112*66-137-3/1,Z TWILL 243 $"
12-13509,"2/40MEL*20SPX-112*66-137-3/1,Z TWILL 243 $"
12-13613,NEW BRANDING-12-13617
12-13613,NEW BRANDING-12-13617
12-13617,40COM*40COM- *80-PLAIN
12-13617,40COM*40COM- *80-PLAIN
12-13617,40COM*40COM- *80-PLAIN
12-13617,40COM*40COM- *80-PLAIN
12-13785,2/60COM*2/60COM-166*86-150-2/2 Z TWILL 211 $
12-13785,2/60COM*2/60COM-166*86-150-2/2 Z TWILL 211 $
12-13785,2/60COM*2/60COM-166*86-150-2/2 Z TWILL 211 $
12-13785,2/60COM*2/60COM-166*86-150-2/2 Z TWILL 211 $
12-13785,2/60COM*2/60COM-166*86-150-2/2 Z TWILL 211 $
12-13785,2/60COM*2/60COM-166*86-150-2/2 Z TWILL 211 $
12-13785,2/60COM*2/60COM- *86- -2/2 Z TWILL
12-13785,2/60COM*2/60COM-166*86-150-2/2 Z TWILL 211 $
12-13786,2/60COM*2/60COM-162*86-151-2/2Z TWILL-217 $
12-13823,2/80COM*2/80COM-194*90-150-2/2 Z TWILL 170 $
12-13823,2/80COM*2/80COM-194*90-150-2/2 Z TWILL 170 $
12-14005,2/40MEL*20SPX-104*76-130-2/2 MATT 236 $
12-14005,2/40MEL*20SPX-104*76-130-2/2 MATT 236 $
12-14395,60COM OG *60MEL OG - *86-PLAIN
12-14395,-133*88-144.00-
12-14395,60COM.OG*60COM.OG.MEL-PLAIN
12-14543,50COM.OG+50MC.OG*50MEL.OG+50MC.MEL.OG-106*76-140-PLAI-84 $
12-14543,50COM.OG+50MC.OG*50MEL.OG+50MC.MEL.OG-106*76-140-PLAI-84 $
12-14545,50COM.OG+50MC.OG*50MEL.OG+50MC.MEL.OG-PLAIN
12-14545,50COM.OG+50MC.OG*50MEL.OG+50MC.MEL.OG-105*76*140-PLAIN-87 $
12-14790,32COM.OG*32COM.OG-100*64-147-PLAIN-128 $
12-14790,32COM.OG*32COM.OG-100*64-147-PLAIN-128 $
12-14790,32COM.OG*32COM.OG-100*64-147-PLAIN-128 $
12-14790,32COM.OG*32COM.OG-100*64-147-PLAIN-128 $
12-14790,32COM.OG*32COM.OG-100*64-147-PLAIN-128 $
12-14790,32COM.OG*32COM.OG *64-PLAIN
12-14790,32COM.OG*32COM.OG *64-PLAIN
12-15141,30COM*220D.PET STRETCH-4/1 S SATIN
12-15141,30COM*220D.PET STRETCH-4/1 S SATIN
12-15141,30COM*220D.PET STRETCH-198*84-140-4/1 S SATIN-170 $
12-15350,40COM.OG+40MEL*40COM.OG+40MEL-94*80-140-PLAIN 111 $
12-15350,40COM.OG+40MEL*40COM.OG+40MEL-94*80-140-PLAIN 111 $
12-15350,40COM.OG+40MEL*40COM.OG+40MEL-94*80-140-PLAIN 111 $
12-15360,50COM.OG+50MC.OG*50COM.OG+50MC.OG-98*76-137-PLAIN 88 $
12-15360,50COM.OG+50MC.OG*50COM.OG+50MC.OG-98*76-137-PLAIN 88 $
12-15365,50COM.OG+50MC.OG*50COM.OG+50MC.OG-98*76-137-PLAIN 88 $
12-15365,50COM.OG+50MC.OG*50COM.OG+50MC.OG-98*76-137-PLAIN 88 $
12-15370,40COM.OG+40MEL*40COM.OG+40MEL-110*90-152-2/2 S TWILL 130 $
12-15370,40COM.OG+40MEL*40COM.OG+40MEL-110*90-152-2/2 S TWILL 130 $
12-15840,"2/40MEL+2/40COM*20SPX-112*66-136-3/1,Z TWILL 250 $"
12-15840,"2/40MEL+2/40COM*20SPX-112*66-136-3/1,Z TWILL 250 $"
12-15840,"2/40MEL+2/40COM*20SPX-112*66-136-3/1,Z TWILL 250 $"
12-16240,50COM.OG+50MC.OG*50MEL.OG+50MC.MEL.OG-106*76-140-PLAI-84 $
12-16240,50COM.OG+50MC.OG*50MEL.OG+50MC.MEL.OG-106*76-140-PLAI-84 $
12-16620,16MEL.OG+16K.OG*16MEL.OG+16K.OG-64*52-138-2/2 Z TWILL 190 $
12-16620,16MEL.OG+16K.OG*16MEL.OG+16K.OG-64*52-138-2/2 Z TWILL 190 $
12-16620,16K.OG*16K.OG-2/2 Z TWILL
12-16620,16K.OG+16MEL.OG*16K.OG+16MEL.OG--64*52-138-2/2 Z TWILL 190 $
12-16620,16OE.OG*16OE.OG-64*52-138-2/2 Z TWILL 190 $
12-16620,16OE.OG+16MEL.OG*16OE.OG+16MEL.OG-64*52-138-2/2 Z TWILL 190 $
12-17130,40COM.OG*40COM.OG-100*70-143-DOBBY-MOCKLENO 103 $
12-17130,40COM.OG*40COM.OG-100*70-143-DOBBY-MOCKLENO 103 $
12-17130,40COM.OG*40COM.OG-100*70-143-DOBBY-MOCKLENO 103 $
12-17130,40COM.OG*40COM.OG- *70-DOBBY-MOCKLENO
12-17130,40COM.OG*40COM.OG-100*70-143-DOBBY-MOCKLENO 103 $
12-17350,80COM*60COM.OG-92*84-150-PLAIN 64 $
12-17350,80COM*60COM.OG-PLAIN
12-17355,80COM*60COM.OG-92*84-150-PLAIN 64 $
12-17355,80COM*60COM.OG-PLAIN
12-17550,80COM*60COM.OG- *84-DOBBY
12-17550,80COM*60COM.OG- *84-DOBBY
12-17570,"45C.PC*30C.PC- *68-2/1,S TWILL"
12-17610,"30COM*200D.PET.STR-200*84-139-4/1,S SATIN 266 $"
12-17611,30COM*220D.PET STRETCH-198*84-140-4/1 S SATIN-170 $
12-17775,3/100COM*3/100COM-170*86-152-2/2 Z TWILL 189 $
12-17775,3/100COM*3/100COM-170*86-152-2/2 Z TWILL 189 $
12-17775,3/100COM*3/100COM-170*86-152-2/2 Z TWILL 189 $
12-17775,3/100COM*3/100COM-170*86-152-2/2 Z TWILL 189 $
12-17951,22CM*200D.PET.STR-142*66-116-3/1 Z TWILL 264 $ A122A001
12-18350,40COM.OG*40COM.OG-118*80-148-2/2 Z TWILL 128 $
12-18350,40COM.OG*40COM.OG- *80-2/2 Z TWILL
12-18350,40COM.OG*40COM.OG-118*80-148-2/2 Z TWILL 128 $
12-18880,40COM*40COM- *80-PLAIN
12-19020,40COM*40COM-121*80-148-PLAIN-125 $
12-19020,40COM*40COM- *80-PLAIN
12-19030,40COM*40COM-121*80-148-PLAIN-125 $
12-19030,40COM*40COM- *80-PLAIN
12-19060,80COM*60COM-92*84-150-PLAIN 64 $
12-19060,80COM*60COM-PLAIN
12-19110,80COM*60COM-92*84-150-PLAIN 64 $
12-19120,80COM*60COM-92*84-150-PLAIN 64 $
12-19130,80COM*60COM-92*84-150-PLAIN 64 $
12-19140,60COM*60COM-112*88-143-PLAIN 85 $
12-19140,60COM*60COM-112*88-143-PLAIN 85 $
12-19140,60COM*60COM- *88-PLAIN
12-19310,80COM*60COM-92*84-150-PLAIN 64 $
12-19320,80COM*60COM-92*84-150-PLAIN 64 $
12-19330,80COM*60COM-92*84-150-PLAIN 64 $
12-19830,16OE+16MEL*16OE+16MEL--66*52-140-2/2 S TWILL 190 $
12-19840,16OE+16MEL*16OE+16MEL-66*52-140-2/2 S TWILL 190 $
12-19850,16OE+16MEL*16OE+16MEL-66*52-140-2/2 S TWILL 190 $
12-82525,20MEL*20SPX(70D)-116*76*150-2/2 MATT-265
12-82525,20MEL*20SPX(70D)- *76-2/2 MATT
12-82575,30SPX(40D)*30SPX(40D)-155*92-135-3/1 S TWILL-283 $
12-82575,30SPX(40D)*30SPX(40D)-155*92-135-3/1 S TWILL-283 $
12-82575,30SPX(40D)*30SPX(40D)-155*92-135-3/1 S TWILL-283 $
12-83030,2/60COM*2/60COM- *86-2/2 Z TWILL
12-83030,2/60COM*2/60COM- *86-2/2 Z TWILL
12-83030,2/60COM*2/60COM- *86-2/2 Z TWILL
12-83030,2/60COM*2/60COM- *86-2/2 Z TWILL
12-84500,60COM*40COM- *74-DOBBY
12000001,20COM*20COM
12000001,20COM*20COM
12000009,20COM*20COM-96*88-148-2/2 HBT-243 $
12000009,20COM*20COM-2/2 HBT
12000009,20COM*20COM-96*88-148-2/2 HBT-243 $
12000048,20COM*20COM-104*88-152-3/1 Z TWILL-248 $
12000049,20COM*20COM-92*64-151-PLAIN-210 $
12000049,20COM*20COM-92*64-151-PLAIN-210 $
12000049,20COM*20COM
12000050,20COM*20COM-92*70-149-PLAIN-218 $
12000050,20COM*20COM-92*70-149-PLAIN-218 $
12000050,20COM*20COM
12000053,20COM.OG*16SPX.OG-124*60-150-2/2 Z TWILL 270 $
12000053,20COM.OG*16SPX.OG-124*60-150-2/2 Z TWILL 270 $
12000060,20COM*16SPX-110*62-135-2/2 BKT-265 $
12000060,20COM*16SPX-110*62-135-2/2 BKT-265 $
12000061,"20COM*20SPX-124*70-129-4/1,S TWILL 270 $"
12000061,"20COM*20SPX-124*70-129-4/1,S TWILL 270 $"
12000065,20COM*20COM- *84-2/2 'S' TWIL
12000065,20COM*20COM- *84-2/2 'S' TWIL
12000065,20COM*20COM-93*84-148-2/2 'S' TWILL-226 $
